srg,cnf
p_00002_0,
p_00002_1,
p_00002_2,
p_00005_0,
p_00006_0,
p_00006_1,
p_00007_0,
p_00008_0,
p_00009_0,
p_00010_0,
p_00010_1,
p_00011_0,
p_00011_1,
p_00013_0,
p_00015_0,
p_00016_0,
p_00018_0,
p_00018_1,
p_00018_2,
p_00018_3,
p_00018_4,
p_00018_5,
p_00019_0,
p_00019_1,
p_00019_2,
p_00019_3,
p_00019_4,
p_00020_0,
p_00020_1,
p_00020_2,
p_00020_3,
p_00020_4,
p_00021_0,
p_00021_1,
p_00021_2,
p_00021_3,
p_00021_4,
p_00021_5,
p_00022_0,
p_00022_1,
p_00022_2,
p_00022_3,
p_00022_4,
p_00022_5,
p_00023_0,
p_00023_1,
p_00025_0,
p_00028_0,
p_00029_0,
p_00032_0,
p_00032_1,
p_00034_0,
p_00035_0,
p_00037_0,
p_00038_0,
p_00039_0,
p_00040_0,
p_00041_0,
p_00042_0,
p_00043_0,
p_00044_0,
p_00045_0,
p_00046_0,
p_00047_0,
p_00048_0,
p_00049_0,
p_00049_1,
p_00049_2,
p_00050_0,
p_00050_1,
p_00051_0,
p_00051_1,
p_00054_0,
p_00055_0,
p_00056_0,
p_00056_1,
p_00057_0,
p_00058_0,
p_00058_1,
p_00058_2,
p_00058_3,
p_00059_0,
p_00059_1,
p_00059_2,
p_00060_0,
p_00060_1,
p_00060_2,
p_00060_3,
p_00061_0,
p_00061_1,
p_00061_2,
p_00061_3,
p_00062_0,
p_00062_1,
p_00062_2,
p_00064_0,
p_00064_1,
p_00064_2,
p_00065_0,
p_00065_1,
p_00065_2,
p_00066_0,
p_00066_1,
p_00066_2,
p_00067_0,
p_00069_0,
p_00070_0,
p_00070_1,
p_00070_2,
p_00071_0,
p_00072_0,
p_00073_0,
p_00073_1,
p_00073_2,
p_00075_0,
p_00075_1,
p_00076_0,
p_00076_1,
p_00077_0,
p_00077_1,
p_00079_0,
p_00080_0,
p_00082_0,
p_00082_1,
p_00082_2,
p_00083_0,
p_00083_1,
p_00083_2,
p_00083_3,
p_00085_0,
p_00085_1,
p_00085_2,
p_00085_3,
p_00085_4,
p_00085_5,
p_00086_0,
p_00087_0,
p_00087_1,
p_00088_0,
p_00088_1,
p_00088_2,
p_00088_3,
p_00088_4,
p_00089_0,
p_00089_1,
p_00089_2,
p_00089_3,
p_00089_4,
p_00089_5,
p_00091_0,
p_00091_1,
p_00091_10,
p_00091_11,
p_00091_2,
p_00091_3,
p_00091_4,
p_00091_5,
p_00091_6,
p_00091_7,
p_00091_8,
p_00091_9,
p_00092_0,
p_00092_1,
p_00092_2,
p_00092_3,
p_00093_0,
p_00094_0,
p_00095_0,
p_00095_1,
p_00095_2,
p_00095_3,
p_00095_4,
p_00095_5,
p_00097_0,
p_00097_1,
p_00097_2,
p_00097_3,
p_00097_4,
p_00097_5,
p_00098_0,
p_00099_0,
p_00100_0,
p_00100_1,
p_00101_0,
p_00101_1,
p_00101_2,
p_00101_3,
p_00102_0,
p_00102_1,
p_00102_2,
p_00102_3,
p_00102_4,
p_00103_0,
p_00103_1,
p_00104_0,e
p_00106_0,
p_00107_0,
p_00108_0,
p_00108_1,
p_00108_2,
p_00109_0,
p_00109_1,
p_00109_2,
p_00109_3,
p_00109_4,
p_00109_5,
p_00109_6,
p_00109_7,
p_00112_0,
p_00113_0,
p_00114_0,
p_00115_0,
p_00115_1,
p_00115_2,
p_00115_3,
p_00115_4,
p_00116_0,
p_00116_1,
p_00116_2,
p_00117_0,
p_00118_0,
p_00124_0,
p_00125_0,
p_00125_1,
p_00126_0,
p_00126_1,
p_00127_0,
p_00127_1,
p_00127_2,
p_00128_0,
p_00128_1,
p_00131_0,
p_00132_0,
p_00132_1,
p_00134_0,
p_00134_1,
p_00134_2,
p_00135_0,
p_00137_0,
p_00137_1,
p_00137_2,
p_00137_3,
p_00137_4,
p_00137_5,
p_00137_6,
p_00138_0,
p_00138_1,
p_00138_2,
p_00143_0,
p_00144_0,
p_00146_0,
p_00146_1,
p_00146_2,
p_00146_3,
p_00146_4,
p_00147_0,
p_00147_1,
p_00147_2,
p_00147_3,
p_00148_0,
p_00148_1,
p_00148_2,
p_00148_3,
p_00149_0,
p_00149_1,
p_00149_2,
p_00149_3,
