srg,mcp
field_1000_j,editLine
field_1002_h,entitySign
field_1003_b,mc
field_1004_a,field_1004_a
field_1005_e,field_1005_e
field_1006_d,field_1006_d
field_1007_c,currentlyDisplayedText
field_1008_b,y
field_1009_a,x
field_1010_d,updateTime
field_1011_c,z
field_1012_M,entitiesWithinAABBExcludingEntity
field_1016_I,nbtCompoundPlayer
field_1017_H,chunkProvider
field_1019_F,cloudColour
field_1024_A,unloadedEntityList
field_1026_y,isRemote
field_1029_v,sizeOnDisk
field_1030_u,randomSeed
field_1033_r,isNewWorld
field_1034_q,spawnZ
field_1036_o,spawnX
field_1037_n,rand
field_1039_l,difficultySetting
field_1040_k,playerEntities
field_1043_h,editingBlocks
field_1046_e,skylightSubtracted
field_1048_c,worldTime
field_1049_b,loadedTileEntityList
field_1050_a,loadedEntityList
field_1051_z,lightingToUpdate
field_1052_A,sendQueue
field_1053_F,entitySpawnQueue
field_1054_E,lockTimestamp
field_1055_D,entityHashSet
field_1056_C,scheduledTickSet
field_1057_z,blocksToReceive
field_1058_B,scheduledTickTreeSet
field_1059_b,chunkZ
field_1060_a,chunkX
field_1061_d,worldObj
field_1062_c,chunkArray
field_1063_a,netManager
field_1064_b,isInTestMode
field_1065_a,mc
field_1068_i,blockHitWait
field_1069_h,blockDestroySoundCounter
field_1070_g,prevBlockDamage
field_1071_f,curBlockDamage
field_1072_e,curBlockZ
field_1073_d,curBlockY
field_1074_c,curBlockX
field_1075_l,currentPlayerItem
field_1080_g,prevBlockDamageMP
field_1085_a,netManager
field_1086_a,netManager
field_1087_a,name
field_1088_a,data
field_1089_a,data
field_1090_b,tagType
field_1091_a,tagList
field_1092_a,data
field_1093_a,data
field_1094_a,tagMap
field_1095_a,data
field_1096_a,byteArray
field_1097_a,data
field_1098_a,data
field_1099_b,recipeItems
field_1100_a,recipePatterns
field_1101_b,hostName
field_1102_a,mc
field_1103_d,connectingGui
field_1104_c,port
field_1105_b,valueEntry
field_1106_a,hashEntry
field_1107_d,slotHash
field_1108_c,nextEntry
field_1109_a,data
field_1110_b,y
field_1111_a,x
field_1112_c,z
field_1113_b,deltaY
field_1114_a,deltaX
field_1115_e,field_1115_e
field_1116_d,cursor
field_1117_c,windowComponent
field_1118_b,inventory
field_1119_a,slotIndex
field_1120_f,yPos
field_1121_e,xPos
field_1122_c,guiHandler
field_1123_d,parent
field_1124_c,armorType
field_1125_c,craftMatrix
field_1126_b,iconIndex
field_1127_a,imageData
field_1128_f,tileImage
field_1129_e,tileSize
field_1130_d,textureId
field_1131_c,anaglyphEnabled
field_1132_h,field_1132_h
field_1133_g,field_1133_g
field_1134_k,tickCounter
field_1135_j,field_1135_j
field_1136_i,field_1136_i
field_1137_h,field_1137_h
field_1138_g,field_1138_g
field_1139_k,field_1139_k
field_1140_j,field_1140_j
field_1141_i,field_1141_i
