srg,mcp
func_1000_a,addEntity
func_1001_a,addTileEntity
func_1002_d,getChunkBlockTileEntity
func_1003_g,relightBlock
func_1004_a,setChunkData
func_1005_a,setChunkBlockTileEntity
func_1006_f,setChunkModified
func_1007_c,canBlockSeeTheSky
func_1008_a,getBlockID
func_1009_b,setBlockMetadata
func_1010_a,setBlockIDWithMetadata
func_1011_a,setLightValue
func_1012_a,needsSaving
func_1013_a,getEntitiesOfTypeWithinAAAB
func_1014_a,func_1014_a
func_1015_b,removeEntity
func_1016_a,removeEntityAtIndex
func_1017_a,isAtLocation
func_1018_b,generateHeightMap
func_1019_c,getBlockLightValue
func_1020_f,checkSkylightNeighborHeight
func_1021_b,getBlockMetadata
func_1022_a,setBlockID
func_1023_e,removeChunkBlockTileEntity
func_1024_c,generateSkylightMap
func_1025_a,getSavedLightValue
func_1026_a,setRenderingContext
func_1028_a,hasSpecialRenderer
func_1030_a,renderTileEntity
func_1031_b,getSpecialRendererForEntity
func_1032_a,renderTileEntityAt
func_1033_a,sortBack
func_1034_a,addPoint
func_1035_a,changeDistance
func_1036_b,dequeue
func_1037_b,sortForward
func_1038_a,clearPath
func_1039_c,isPathEmpty
func_1040_a,compareRecipes
func_1041_b,saveOptions
func_1042_a,setKeyBinding
func_1043_a,getKeyBinding
func_1045_b,setOptionValue
func_1046_b,getOptionControlType
func_1047_d,getOptionDisplayString
func_1048_a,setOptionFloatValue
func_1049_c,getOptionFloatValue
func_1050_a,parseFloat
func_1051_a,addRecipes
func_1052_b,removeObject
func_1053_a,insert
func_1054_c,removeEntry
func_1055_e,computeHash
func_1056_d,getHash
func_1057_a,lookup
func_1058_a,clearMap
func_1059_a,copyTo
func_1060_f,grow
func_1061_a,addKey
func_1062_a,getSlotIndex
func_1063_a,sortByDistanceToEntity
func_1064_values,func_1064_values
func_1065_b,refreshTextures
func_1066_a,registerTextureFX
func_1067_a,updateDynamicTextures
func_1068_a,setupTexture
func_1069_b,unwrapImageByColumns
func_1070_a,getTexture
func_1071_a,getTextureForDownloadableImage
func_1072_a,averageColor
func_1073_b,releaseImageData
func_1074_a,allocateAndSetupTexture
func_1075_a,obtainImageData
func_1076_b,bindTexture
func_1077_b,alphaBlend
func_1078_a,deleteTexture
func_1079_a,createEntityByName
func_1080_a,addMapping
func_1081_a,createEntityFromNBT
func_1082_a,getEntityID
func_1083_b,getEntityString
func_1084_a,createEntityByID
func_1085_a,splitStack
func_1086_a,writeToNBT
func_1087_a,hitBlock
func_1088_b,getIconIndex
func_1089_c,getMaxStackSize
func_1090_a,useItem
func_1091_a,getItem
func_1092_a,hitEntity
func_1093_a,useItemRightClick
func_1094_d,getMaxDamage
func_1095_a,getDamageVsEntity
func_1096_b,readFromNBT
func_1097_a,onItemDestroyedByUse
func_1098_a,getStrVsBlock
func_1099_b,canHarvestBlock
func_1100_b,useItemOnEntity
func_1101_b,damageItem
func_1102_e,copy
func_1103_a,onCraftMatrixChanged
func_1104_a,onContainerClosed
func_1105_values,func_1105_values
func_1106_a,sin
func_1107_a,abs_max
func_1108_b,floor_double
func_1109_a,sqrt_double
func_1110_d,floor_float
func_1111_a,bucketInt
func_1112_e,abs
func_1113_c,sqrt_float
func_1114_b,cos
func_1115_a,setTexturePosition
func_1116_a,getRandomSound
func_1117_a,addSound
func_1118_a,getRandomSoundFromSoundPool
func_1119_a,craft
func_1120_a,getInstance
func_1121_a,addRecipe
func_1122_a,addRecipes
func_1123_d,createDirectFloatBuffer
func_1124_a,generateDisplayLists
func_1125_c,createDirectIntBuffer
func_1126_a,deleteTexturesAndDisplayLists
func_1127_b,createDirectByteBuffer
func_1128_a,generateTextureNames
func_1129_a,addToPath
func_1130_a,createEntityPathTo
func_1131_a,createEntityPathTo
func_1132_a,getVerticalOffset
func_1133_b,findPathOptions
func_1134_a,createEntityPath
func_1135_a,getSafePoint
func_1136_a,openPoint
func_1137_a,createEntityPathTo
func_1138_a,readCompressed
func_1139_a,write
func_1140_a,func_1140_a
func_1141_a,read
func_1142_a,func_1142_a
func_1143_a,writeCompressed
func_1144_c,getPitch
func_1145_d,getStepSound
func_1146_a,getBreakSound
func_1147_b,getVolume
func_1148_a,addRecipes
func_1152_a,isBoxInFrustum
func_1153_b,init
func_1154_a,normalize
func_1155_a,getInstance
func_1156_a,setColorBuffer
func_1157_a,setColorBuffer
func_1158_b,enableStandardItemLighting
func_1159_a,disableStandardItemLighting
func_1160_c,copy
func_1161_b,getBoundingBoxFromPool
func_1162_c,calculateZOffset
func_1163_a,calculateXOffset
func_1164_b,getAverageEdgeLength
func_1165_c,setBounds
func_1166_c,getOffsetBoundingBox
func_1167_a,isVecInYZ
func_1168_a,getBoundingBox
func_1169_a,calculateIntercept
func_1170_a,addCoord
func_1171_b,setBB
func_1172_b,calculateYOffset
func_1174_d,offset
func_1175_b,isVecInXZ
func_1176_c,isVecInXY
func_1177_b,expand
func_1178_a,intersectsWith
func_1179_a,isAssigned
func_1180_a,distanceTo
func_1182_a,matchRecipe
func_1183_b,createResult
func_1184_a,getRecipeSize
func_1185_a,matches
func_1186_a,addBlockDestroyEffects
func_1187_b,func_1187_b
func_1188_a,clearEffects
func_1189_a,renderParticles
func_1190_b,getStatistics
func_1191_a,addBlockHitEffects
func_1192_a,addEffect
func_1193_a,updateEffects
func_1194_f,markDirty
func_1195_b,setDontDraw
func_1196_e,skipAllRenderPasses
func_1197_a,setPosition
func_1198_a,updateRenderer
func_1199_a,updateInFrustum
func_1200_a,getGLCallListForPass
func_1201_d,callOcclusionQueryList
func_1202_a,distanceToEntitySquared
func_1203_g,setupGLTranslation
func_1204_c,stopRendering
func_1205_a,getPosition
func_1206_a,incrementPathIndex
func_1207_b,isFinished
func_1208_b,closeMinecraft
func_1209_a,loadResource
func_1210_a,reloadResources
func_1211_a,downloadAndInstallResource
func_1212_a,downloadResource
func_1213_a,checkARBOcclusion
func_1214_n,renderBlockStairs
func_1216_f,renderBlockMinecartTrack
func_1217_b,renderFaceYPos
func_1218_o,renderBlockDoor
func_1219_a,renderItemIn3d
func_1220_c,renderFaceZNeg
func_1221_g,renderBlockLadder
func_1222_j,renderBlockFluids
func_1223_a,renderBlockUsingTexture
func_1224_a,getFluidHeight
func_12243_a,createExplosion
func_12244_a,newExplosion
func_12245_a,handleExplosion
func_12246_a,getEntityByID
func_12247_b,doExplosionB
func_12248_a,doExplosionA
func_1225_d,renderFaceZPos
func_1226_h,renderCrossedSquares
func_1227_a,renderBlockAsItem
func_1228_k,renderStandardBlock
func_1229_c,renderBlockLever
func_1230_b,renderBlockCactusImpl
func_1231_e,renderFaceXNeg
func_1232_i,renderBlockStem
func_1233_l,renderBlockCactus
func_1234_a,renderBlockByRenderType
func_1235_d,renderBlockFire
func_1236_f,renderFaceXPos
func_1237_a,renderTorchAtAngle
func_1238_a,func_1238_a
func_1239_a,drawCrossedSquares
func_1240_m,renderBlockFence
func_1241_b,renderBlockTorch
func_1242_e,renderBlockRedstoneWire
func_1243_a,renderBlockFallingSand
func_1244_a,renderFaceYNeg
func_1245_b,renderBlockCropsImpl
func_1246_b,crossProduct
func_1247_a,getIntermediateWithXValue
func_1248_b,createVector
func_1249_b,rotateAroundY
func_1250_b,getIntermediateWithYValue
func_1251_c,distanceTo
func_1252_b,normalize
func_1253_c,lengthVector
func_1254_e,setComponents
func_1255_d,squareDistanceTo
func_1256_c,getIntermediateWithZValue
func_1257_c,addVector
func_1258_a,rotateAroundX
func_1259_a,initialize
func_1260_a,createVectorHelper
func_1261_d,squareDistanceTo
func_1262_a,subtract
func_1263_a,getWorkingDirectory
func_1264_a,getWorkingDirectory
func_1265_d,render
func_1266_a,setBrightness
func_1267_a,getZone
func_1268_a,render
func_1269_e,getPlatform
func_1270_b,loadLevel
func_1271_a,isRunning
func_1272_b,start
func_1273_c,stop
func_140_a,loadDownloadableImageTexture
func_141_b,doRenderShadowAndFire
func_142_a,renderAABB
func_144_c,renderShadow
func_145_a,renderShadowOnBlock
func_146_a,renderOffsetAABB
func_147_a,doRender
func_148_a,renderEntityOnFire
func_149_b,getWorldFromRenderManager
func_151_a,loadTexture
func_152_a,renderTheMinecart
func_15232_h,func_15232_h
func_15233_j,func_15233_j
func_15234_j,func_15234_j
func_153_a,renderPrimedTNT
func_154_a,renderArrow
func_155_a,func_155_a
func_156_a,doRenderFallingSand
func_157_a,renderBoat
func_158_a,renderThePainting
func_159_a,func_159_a
func_160_a,func_160_a
func_161_a,renderItemIntoGUI
func_162_a,renderQuad
func_163_a,renderTexturedQuad
func_164_b,renderItemOverlayIntoGUI
func_165_a,doRenderItem
func_166_a,shouldRenderPass
func_167_c,renderSwingProgress
func_170_d,handleRotationFloat
func_171_a,doRenderLiving
func_172_a,getDeathMaxRotation
func_173_a,getColorMultiplier
func_175_a,preRenderScale
func_176_a,setWoolColorAndRender
func_177_a,renderCow
func_178_a,scaleSlime
func_179_a,renderSlimePassModel
func_180_a,renderSaddledPig
func_181_a,renderChicken
func_182_a,getWingRotation
func_183_a,updateCreeperColorMultiplier
func_184_a,updateCreeperScale
func_185_b,drawFirstPersonHand
func_186_b,renderPlayerScale
func_187_a,setArmorModel
func_188_a,renderPlayer
func_190_a,setSpiderEyeBrightness
func_191_a,setSpiderDeathMaxRotation
func_192_a,onItemUse
func_193_a,onItemRightClick
func_196_a,getIconIndex
func_197_c,getMaxDamage
func_200_b,getItemStackLimit
func_203_a,hitBlock
func_204_a,getStrVsBlock
func_207_d,colorMultiplier
func_208_a,updateTick
func_209_d,canProvidePower
func_210_f,getRenderType
func_211_a,getBlockTexture
func_212_i,unusedMethod
func_213_a,setBlockBounds
func_214_b,onBlockRemoval
func_215_a,setLightValue
func_216_a,dropBlockAsItemWithChance
func_217_b,isOpaqueCube
func_218_a,getBlockTextureFromSide
func_219_b,setResistance
func_220_a_,harvestBlock
func_221_d,getCollisionBoundingBoxFromPool
func_222_c,setHardness
func_223_g,canBlockStay
func_224_a,canCollideCheck
func_225_a,blockStrength
func_226_a,onNeighborBlockChange
func_227_a,getExplosionResistance
func_228_c,isIndirectlyPoweringTo
func_229_a,quantityDropped
func_230_a,getCollidingBoundingBoxes
func_231_b,isPoweringTo
func_232_a,getBlockTextureFromSideAndMetadata
func_233_b,onBlockClicked
func_234_g,getRenderBlockPass
func_235_e,onBlockAdded
func_236_b,onEntityCollidedWithBlock
func_237_e,setBlockBoundsForItemRender
func_238_a,setBlockBoundsBasedOnState
func_240_a,idDropped
func_241_c,getBlockBrightness
func_242_c,renderAsNormalBlock
func_243_a,canPlaceBlockAt
func_244_a,isVecInsideYZBounds
func_245_h,isCollidable
func_246_f,getSelectedBoundingBoxFromPool
func_247_b,randomDisplayTick
func_249_b,isVecInsideXZBounds
func_250_a,blockActivated
func_251_c,isVecInsideXYBounds
func_252_b,onBlockDestroyedByPlayer
func_253_b,setTickRandomly
func_254_a,onEntityWalking
func_255_a,collisionRayTrace
func_256_d,setLightOpacity
func_257_a,velocityToAddToEntity
func_258_d,onBlockPlaced
func_259_b_,dropBlockAsItem
func_260_c,shouldSideBeRendered
func_261_b,canBlockCatchFire
func_262_i,getChanceOfNeighborsEncouragingFire
func_263_h,canNeighborBurn
func_264_a,setBurnRate
func_265_g,getChanceToEncourageFire
func_266_a,tryToCatchBlockOnFire
func_267_h,checkIfAttachedToBlock
func_268_h,checkFlowerChange
func_269_b,canThisPlantGrowOnThisBlockID
func_270_i,getGrowthRate
func_271_h,dropTorchIfCantStay
func_273_a,checkForBurnout
func_274_i,isWaterNearby
func_275_h,isCropsNearby
func_279_b,isPowerProviderOrWire
func_280_h,updateAndPropagateCurrentStrength
func_281_g,getMaxCurrentStrength
func_282_i,notifyWireNeighborsOfNeighborChange
func_283_a_,getBlockEntity
func_284_h,setDefaultDirection
