srg,cnf
f_00001,tps
f_00002,lastTime
f_00003,ticks
f_00004,partialTicks
f_00005,timeScale
f_00006,fps
f_00007,applet
f_00008,fullscreen
f_00009,width
f_00010,height
f_00011,lightFogColor
f_00012,shadowFogColor
f_00013,timer
f_00014,world
f_00015,worldRenderer
f_00016,player
f_00017,heldBlockId
f_00018,particleRenderer
f_00019,session
f_00020,uri
f_00021,humans
f_00022,canvas
f_00023,isApplet
f_00024,paused
f_00025,cursor
f_00026,mouseY
f_00027,textureRenderer
f_00028,fontRenderer
f_00029,editMode
f_00030,currentScreen
f_00031,worldManager
f_00032,generator
f_00033,loadMapUser
f_00034,loadMapId
f_00035,running
f_00036,debugText
f_00037,mouseGrabbed
f_00038,viewportBuffer
f_00039,selectBuffer
f_00040,hitResult
f_00041,fogColorBuffer
f_00042,worldStatus
f_00043,worldSubStatus
f_00044,username
f_00045,sessionId
f_00046,inputs
f_00047,x
f_00048,y
f_00049,z
f_00050,side
f_00051,world
f_00052,offsetX
f_00053,offsetY
f_00054,offsetZ
f_00055,x
f_00056,y
f_00057,z
f_00058,motionX
f_00059,motionY
f_00060,motionZ
f_00061,yaw
f_00062,pitch
f_00063,box
f_00064,onGround
f_00065,horizontalCollision
f_00066,removed
f_00067,verticalOffset
f_00068,boxWidth
f_00069,boxHeight
f_00070,canvas
f_00071,minecraft
f_00072,thread
f_00073,minecraft
f_00074,player
f_00075,box
f_00076,world
f_00077,minX
f_00078,minY
f_00079,minZ
f_00080,maxX
f_00081,maxY
f_00082,maxZ
f_00083,x
f_00084,y
f_00085,z
f_00086,dirty
f_00087,renderList
f_00088,visible
f_00089,rendered
f_00090,tesselator
f_00091,updateCount
f_00092,updateCounter
f_00093,player
f_00094,world
f_00095,unsortedChunks
f_00096,sortedChunks
f_00097,chunkX
f_00098,chunkY
f_00099,chunkZ
f_00100,textureRenderer
f_00101,renderList
f_00102,renderDistance
f_00103,buffer
f_00104,layerX
f_00105,layerY
f_00106,layerZ
f_00107,xSize
f_00108,zSize
f_00109,depth
f_00110,blocks
f_00111,lightDepths
f_00112,renderers
f_00113,random
f_00114,randomInt
f_00115,name
f_00116,username
f_00117,time
f_00118,tickedBlocks
f_00119,idMap
f_00120,buffer
f_00121,bufferArray
f_00122,vertices
f_00123,u
f_00124,v
f_00125,red
f_00126,green
f_00127,blue
f_00128,colored
f_00129,textured
f_00130,bufferIndex
f_00131,addedVertices
f_00132,colorDisabled
f_00133,tesselator
f_00134,sides
f_00135,frustrum
f_00136,projectionBuffer
f_00137,modelViewBuffer
f_00138,clippingBuffer
f_00139,projection
f_00140,modelView
f_00141,clipping
f_00142,parent
f_00143,text
f_00144,id
f_00145,name
f_00146,counter
f_00147,x
f_00148,y
f_00149,width
f_00150,height
f_00151,text
f_00152,index
f_00153,clickable
f_00154,visible
f_00155,minecraft
f_00156,x
f_00157,y
f_00158,elements
f_00159,screen
f_00160,finished
f_00161,loaded
f_00162,worlds
f_00163,consoleMessage
f_00164,text
f_00165,characterWidths
f_00166,texture
f_00167,particles
f_00168,textureRenderer
f_00169,xDirection
f_00170,yDirection
f_00171,zDirection
f_00172,texture
f_00173,uOffset
f_00174,vOffset
f_00175,age
f_00176,lifespan
f_00177,size
f_00178,rotation
f_00179,timeOffset
f_00180,speed
f_00181,motionFactor
f_00182,model
f_00183,textureRenderer
f_00184,vertices
f_00185,quads
f_00186,width
f_00187,height
f_00188,x
f_00189,y
f_00190,z
f_00191,pitch
f_00192,yaw
f_00193,roll
f_00194,mirrored
f_00195,renderList
f_00196,head
f_00197,torso
f_00198,rightArm
f_00199,leftArm
f_00200,rightLeg
f_00201,leftLeg
f_00202,vertices
f_00203,vec
f_00204,u
f_00205,v
f_00206,x
f_00207,y
f_00208,z
f_00209,epsilon
f_00210,minX
f_00211,minY
f_00212,minZ
f_00213,maxX
f_00214,maxY
f_00215,maxZ
f_00216,BLOCK_REGISTRY
f_00217,TICKING_BLOCK_INDEX
f_00218,STONE
f_00219,GRASS_BLOCK
f_00220,DIRT
f_00221,BEDROCK
f_00222,FLOWING_WATER
f_00223,WATER
f_00224,FLOWING_LAVA
f_00225,LAVA
f_00226,texture
f_00227,id
f_00228,minX
f_00229,minY
f_00230,minZ
f_00231,maxX
f_00232,maxY
f_00233,maxZ
f_00234,type
f_00235,sourceId
f_00236,flowingId
f_00237,speed
f_00238,minecraft
f_00239,xSize
f_00240,zSize
f_00241,depth
f_00242,random
f_00243,blocks
f_00244,coordinates
f_00245,start
f_00246,distorted
f_00247,generators
f_00248,octaves
f_00249,permutations
