srg,cnf
p_00001,tps
p_00002,applet
p_00003,canvas
p_00004,width
p_00005,height
p_00006,fullscreen
p_00007,screen
p_00008,status
p_00009,partialTicks
p_00010,partialTicks
p_00011,mode
p_00012,red
p_00013,green
p_00014,blue
p_00015,alpha
p_00016,worldStatus
p_00017,worldSubStatus
p_00018,percent
p_00019,username
p_00020,sessionId
p_00021,username
p_00022,sessionId
p_00023,world
p_00024,type
p_00025,x
p_00026,y
p_00027,z
p_00028,side
p_00029,player
p_00030,blockId
p_00031,world
p_00032,boxWidth
p_00033,boxHeight
p_00034,x
p_00035,y
p_00036,z
p_00037,x
p_00038,y
p_00039,z
p_00040,x
p_00041,y
p_00042,z
p_00043,x
p_00044,z
p_00045,speed
p_00046,partialTicks
p_00047,minecraft
p_00048,world
p_00049,uri
p_00050,username
p_00051,sessionId
p_00052,worldName
p_00053,worldId
p_00055,uri
p_00056,username
p_00057,sessionId
p_00059,in
p_00061,in
p_00062,world
p_00063,out
p_00064,player
p_00065,objOne
p_00066,objTwo
p_00067,world
p_00068,minX
p_00069,minY
p_00070,minZ
p_00071,maxX
p_00075,layer
p_00076,player
p_00077,player
p_00078,objOne
p_00079,objTwo
p_00081,textureRenderer
p_00082,player
p_00083,layer
p_00084,player
p_00085,hitResult
p_00086,side
p_00087,id
p_00088,hitResult
p_00089,side
p_00090,minX
p_00091,minY
p_00092,minZ
p_00093,maxX
p_00094,maxY
p_00095,maxZ
p_00096,xSize
p_00097,depth
p_00098,zSize
p_00099,blocks
p_00100,minX
p_00101,minZ
p_00102,maxX
p_00103,maxZ
p_00104,boxes
p_00105,x
p_00106,y
p_00107,z
p_00108,id
p_00109,x
p_00110,y
p_00111,z
p_00112,id
p_00113,x
p_00114,y
p_00115,z
p_00116,id
p_00117,x
p_00118,y
p_00119,z
p_00120,x
p_00121,y
p_00122,z
p_00123,box
p_00124,id
p_00125,resource
p_00126,id
p_00127,red
p_00128,green
p_00129,blue
p_00130,red
p_00131,green
p_00132,blue
p_00133,x
p_00134,y
p_00135,z
p_00136,u
p_00137,v
p_00138,x
p_00139,y
p_00140,z
p_00141,color
p_00142,sides
p_00143,side
p_00144,box
p_00145,parent
p_00146,name
p_00147,id
p_00148,index
p_00149,x
p_00150,y
p_00151,width
p_00152,height
p_00153,text
p_00154,x
p_00155,y
p_00156,key
p_00157,code
p_00158,button
p_00159,minecraft
p_00160,x
p_00161,y
p_00162,x
p_00163,y
p_00164,width
p_00165,height
p_00166,color
p_00167,x
p_00168,y
p_00169,width
p_00170,height
p_00171,color
p_00172,gradient
p_00173,text
p_00174,x
p_00175,y
p_00176,color
p_00177,text
p_00178,x
p_00179,y
p_00180,color
p_00181,parent
p_00182,worlds
p_00183,sessionId
p_00184,screen
p_00185,resource
p_00186,textureRenderer
p_00187,text
p_00188,x
p_00189,y
p_00190,color
p_00191,text
p_00192,x
p_00193,y
p_00194,color
p_00195,shadow
p_00196,text
p_00197,world
p_00198,textureRenderer
p_00199,player
p_00200,partialTicks
p_00202,world
p_00203,x
p_00204,y
p_00205,z
p_00206,motionX
p_00207,motionY
p_00208,motionZ
p_00209,texture
p_00210,world
p_00212,x
p_00213,y
p_00214,z
p_00215,width
p_00216,height
p_00217,offsetX
p_00218,offsetY
p_00219,offsetZ
p_00220,width
p_00221,height
p_00222,depth
p_00223,x
p_00224,y
p_00225,z
p_00226,vertices
p_00227,vertices
p_00228,uOne
p_00229,uTwo
p_00230,vOne
p_00231,vTwo
p_00232,x
p_00233,y
p_00234,z
p_00235,u
p_00236,v
p_00237,u
p_00238,v
p_00239,vertex
p_00240,u
p_00241,v
p_00242,vec
p_00243,u
p_00244,v
p_00245,x
p_00246,y
p_00247,z
p_00248,minX
p_00249,minY
p_00250,minZ
p_00251,maxX
p_00252,maxY
p_00253,maxZ
p_00254,x
p_00255,y
p_00256,z
p_00257,box
p_00258,x
p_00259,y
p_00260,z
p_00261,id
p_00262,ticking
p_00263,minX
p_00264,minY
p_00265,minZ
p_00266,maxX
p_00267,maxY
