srg,cnf
com/mojang/minecraft/src/c_00001,com/mojang/minecraft/src/c_00001
com/mojang/minecraft/src/c_00002,com/mojang/minecraft/src/c_00002
com/mojang/minecraft/src/c_00003,com/mojang/minecraft/src/c_00003
com/mojang/minecraft/src/c_00004,com/mojang/minecraft/src/c_00004
com/mojang/minecraft/src/c_00005,com/mojang/minecraft/src/c_00005
com/mojang/minecraft/src/c_00006,com/mojang/minecraft/src/c_00006
com/mojang/minecraft/src/c_00007,com/mojang/minecraft/src/c_00007
com/mojang/minecraft/src/c_00009,com/mojang/minecraft/src/c_00009
com/mojang/minecraft/src/c_00010,com/mojang/minecraft/src/c_00010
com/mojang/minecraft/src/c_00011,com/mojang/minecraft/src/c_00011
com/mojang/minecraft/src/c_00012,com/mojang/minecraft/src/c_00012
com/mojang/minecraft/src/c_00013,com/mojang/minecraft/src/c_00013
com/mojang/minecraft/src/c_00014,com/mojang/minecraft/src/c_00014
com/mojang/minecraft/src/c_00015,com/mojang/minecraft/src/c_00015
com/mojang/minecraft/src/c_00016,com/mojang/minecraft/src/c_00016
com/mojang/minecraft/src/c_00017,com/mojang/minecraft/src/c_00017
com/mojang/minecraft/src/c_00018,com/mojang/minecraft/src/c_00018
com/mojang/minecraft/src/c_00019,com/mojang/minecraft/src/c_00019
com/mojang/minecraft/src/c_00020,com/mojang/minecraft/src/c_00020
com/mojang/minecraft/src/c_00021,com/mojang/minecraft/src/c_00021
com/mojang/minecraft/src/c_00022,com/mojang/minecraft/src/c_00022
com/mojang/minecraft/src/c_00023,com/mojang/minecraft/src/c_00023
com/mojang/minecraft/src/c_00024,com/mojang/minecraft/src/c_00024
com/mojang/minecraft/src/c_00025,com/mojang/minecraft/src/c_00025
com/mojang/minecraft/src/c_00026,com/mojang/minecraft/src/c_00026
com/mojang/minecraft/src/c_00027,com/mojang/minecraft/src/c_00027
com/mojang/minecraft/src/c_00028,com/mojang/minecraft/src/c_00028
com/mojang/minecraft/src/c_00029,com/mojang/minecraft/src/c_00029
com/mojang/minecraft/src/c_00030,com/mojang/minecraft/src/c_00030
com/mojang/minecraft/src/c_00031,com/mojang/minecraft/src/c_00031
com/mojang/minecraft/src/c_00032,com/mojang/minecraft/src/c_00032
com/mojang/minecraft/src/c_00033,com/mojang/minecraft/src/c_00033
com/mojang/minecraft/src/c_00034,com/mojang/minecraft/src/c_00034
com/mojang/minecraft/src/c_00035,com/mojang/minecraft/src/c_00035
com/mojang/minecraft/src/c_00036,com/mojang/minecraft/src/c_00036
com/mojang/minecraft/src/c_00037,com/mojang/minecraft/src/c_00037
com/mojang/minecraft/src/c_00038,com/mojang/minecraft/src/c_00038
com/mojang/minecraft/src/c_00039,com/mojang/minecraft/src/c_00039
com/mojang/minecraft/src/c_00040,com/mojang/minecraft/src/c_00040
com/mojang/minecraft/src/c_00041,com/mojang/minecraft/src/c_00041
com/mojang/minecraft/src/c_00042,com/mojang/minecraft/src/c_00042
com/mojang/minecraft/src/c_00043,com/mojang/minecraft/src/c_00043
com/mojang/minecraft/src/c_00044,com/mojang/minecraft/src/c_00044
com/mojang/minecraft/src/c_00045,com/mojang/minecraft/src/c_00045
com/mojang/minecraft/src/c_00046,com/mojang/minecraft/src/c_00046
com/mojang/minecraft/src/c_00047,com/mojang/minecraft/src/c_00047
com/mojang/minecraft/src/c_00048,com/mojang/minecraft/src/c_00048
com/mojang/minecraft/src/c_00049,com/mojang/minecraft/src/c_00049
com/mojang/minecraft/src/c_00050,com/mojang/minecraft/src/c_00050
com/mojang/minecraft/src/c_00051,com/mojang/minecraft/src/c_00051
com/mojang/minecraft/src/c_00052,com/mojang/minecraft/src/c_00052
com/mojang/minecraft/src/c_00053,com/mojang/minecraft/src/c_00053
com/mojang/minecraft/src/c_00054,com/mojang/minecraft/src/c_00054
com/mojang/minecraft/src/c_00055,com/mojang/minecraft/src/c_00055
com/mojang/minecraft/src/c_00056,com/mojang/minecraft/src/c_00056
