srg,cnf
f_00001,f_00001
f_00002,f_00002
f_00003,f_00003
f_00004,f_00004
f_00005,f_00005
f_00006,f_00006
f_00007,f_00007
f_00008,f_00008
f_00009,f_00009
f_00010,f_00010
f_00011,f_00011
f_00012,f_00012
f_00013,f_00013
f_00014,f_00014
f_00015,f_00015
f_00016,f_00016
f_00017,f_00017
f_00018,f_00018
f_00019,f_00019
f_00020,f_00020
f_00022,f_00022
f_00023,f_00023
f_00024,f_00024
f_00025,f_00025
f_00026,f_00026
f_00027,f_00027
f_00028,f_00028
f_00029,f_00029
f_00030,f_00030
f_00031,f_00031
f_00032,f_00032
f_00033,f_00033
f_00034,f_00034
f_00035,f_00035
f_00036,f_00036
f_00037,f_00037
f_00038,f_00038
f_00039,f_00039
f_00040,f_00040
f_00041,f_00041
f_00042,f_00042
f_00043,f_00043
f_00044,f_00044
f_00045,f_00045
f_00047,f_00047
f_00048,f_00048
f_00049,f_00049
f_00050,f_00050
f_00051,f_00051
f_00052,f_00052
f_00053,f_00053
f_00054,f_00054
f_00055,f_00055
f_00056,f_00056
f_00057,f_00057
f_00058,f_00058
f_00059,f_00059
f_00060,f_00060
f_00061,f_00061
f_00062,f_00062
f_00063,f_00063
f_00064,f_00064
f_00065,f_00065
f_00066,f_00066
f_00067,f_00067
f_00068,f_00068
f_00069,f_00069
f_00070,f_00070
f_00071,f_00071
f_00072,f_00072
f_00073,f_00073
f_00074,f_00074
f_00076,f_00076
f_00077,f_00077
f_00078,f_00078
f_00079,f_00079
f_00080,f_00080
f_00081,f_00081
f_00082,f_00082
f_00087,f_00087
f_00088,f_00088
f_00090,f_00090
f_00091,f_00091
f_00093,f_00093
f_00094,f_00094
f_00095,f_00095
f_00096,f_00096
f_00097,f_00097
f_00098,f_00098
f_00099,f_00099
f_00100,f_00100
f_00101,f_00101
f_00102,f_00102
f_00103,f_00103
f_00104,f_00104
f_00105,f_00105
f_00106,f_00106
f_00107,f_00107
f_00108,f_00108
f_00109,f_00109
f_00110,f_00110
f_00111,f_00111
f_00112,f_00112
f_00113,f_00113
f_00114,f_00114
f_00115,f_00115
f_00116,f_00116
f_00117,f_00117
f_00118,f_00118
f_00119,f_00119
f_00120,f_00120
f_00121,f_00121
f_00122,f_00122
f_00123,f_00123
f_00124,f_00124
f_00125,f_00125
f_00126,f_00126
f_00127,f_00127
f_00128,f_00128
f_00129,f_00129
f_00130,f_00130
f_00131,f_00131
f_00132,f_00132
f_00133,f_00133
f_00134,f_00134
f_00135,f_00135
f_00136,f_00136
f_00137,f_00137
f_00138,f_00138
f_00139,f_00139
f_00140,f_00140
f_00141,f_00141
f_00142,f_00142
f_00143,f_00143
f_00144,f_00144
f_00145,f_00145
f_00146,f_00146
f_00147,f_00147
f_00148,f_00148
f_00149,f_00149
f_00150,f_00150
f_00151,f_00151
f_00152,f_00152
f_00153,f_00153
f_00154,f_00154
f_00155,f_00155
f_00156,f_00156
f_00157,f_00157
f_00158,f_00158
f_00159,f_00159
f_00160,f_00160
f_00161,f_00161
f_00162,f_00162
f_00163,f_00163
f_00164,f_00164
f_00165,f_00165
f_00166,f_00166
f_00167,f_00167
f_00168,f_00168
f_00169,f_00169
f_00170,f_00170
f_00171,f_00171
f_00172,f_00172
f_00173,f_00173
f_00174,f_00174
f_00175,f_00175
f_00176,f_00176
f_00177,f_00177
f_00178,f_00178
f_00179,f_00179
f_00180,f_00180
f_00181,f_00181
f_00182,f_00182
f_00184,f_00184
f_00185,f_00185
f_00186,f_00186
f_00187,f_00187
f_00188,f_00188
f_00189,f_00189
f_00190,f_00190
f_00191,f_00191
f_00192,f_00192
f_00193,f_00193
f_00194,f_00194
f_00195,f_00195
f_00196,f_00196
f_00197,f_00197
f_00198,f_00198
f_00199,f_00199
f_00200,f_00200
f_00201,f_00201
f_00202,f_00202
f_00203,f_00203
f_00204,f_00204
f_00205,f_00205
f_00206,f_00206
f_00207,f_00207
f_00208,f_00208
f_00209,f_00209
f_00210,f_00210
f_00211,f_00211
f_00212,f_00212
f_00213,f_00213
f_00214,f_00214
f_00215,f_00215
f_00216,f_00216
f_00217,f_00217
f_00218,f_00218
f_00219,f_00219
f_00220,f_00220
f_00221,f_00221
f_00222,f_00222
f_00223,f_00223
f_00224,f_00224
f_00225,f_00225
f_00226,f_00226
f_00227,f_00227
f_00228,f_00228
f_00229,f_00229
f_00230,f_00230
f_00231,f_00231
f_00232,f_00232
f_00233,f_00233
f_00235,f_00235
f_00236,f_00236
f_00238,f_00238
f_00239,f_00239
f_00240,f_00240
f_00241,f_00241
f_00242,f_00242
f_00243,f_00243
f_00244,f_00244
f_00245,f_00245
f_00246,f_00246
f_00247,f_00247
f_00248,f_00248
f_00249,f_00249
f_00250,f_00250
f_00251,f_00251
f_00252,f_00252
f_00253,f_00253
f_00254,f_00254
f_00255,f_00255
f_00256,f_00256
f_00257,f_00257
f_00258,f_00258
f_00259,f_00259
f_00260,f_00260
f_00261,f_00261
f_00262,f_00262
f_00263,f_00263
f_00264,f_00264
f_00265,f_00265
f_00266,f_00266
f_00267,f_00267
f_00268,f_00268
f_00269,f_00269
f_00270,f_00270
f_00271,f_00271
f_00272,f_00272
f_00273,f_00273
f_00274,f_00274
f_00275,f_00275
f_00276,f_00276
f_00277,f_00277
f_00278,f_00278
f_00279,f_00279
f_00280,f_00280
f_00281,f_00281
f_00282,f_00282
f_00283,f_00283
f_00284,f_00284
f_00285,f_00285
f_00286,f_00286
f_00287,f_00287
f_00288,f_00288
f_00289,f_00289
f_00290,f_00290
f_00291,f_00291
f_00292,f_00292
f_00293,f_00293
f_00294,f_00294
f_00295,f_00295
f_00296,f_00296
f_00297,f_00297
f_00298,f_00298
f_00299,f_00299
f_00300,f_00300
f_00301,f_00301
f_00302,f_00302
f_00303,f_00303
f_00304,f_00304
f_00305,f_00305
f_00306,f_00306
f_00307,f_00307
f_00308,f_00308
f_00309,f_00309
f_00310,f_00310
f_00311,f_00311
f_00312,f_00312
f_00313,f_00313
f_00314,f_00314
f_00315,f_00315
f_00316,f_00316
f_00317,f_00317
f_00318,f_00318
f_00319,f_00319
f_00320,f_00320
f_00321,f_00321
f_00322,f_00322
f_00323,f_00323
f_00324,f_00324
f_00325,f_00325
f_00326,f_00326
f_00327,f_00327
f_00328,f_00328
f_00329,f_00329
f_00330,f_00330
f_00331,f_00331
f_00332,f_00332
f_00333,f_00333
f_00334,f_00334
f_00335,f_00335
f_00336,f_00336
