srg,cnf
p_00001,p_00001
p_00002,p_00002
p_00003,p_00003
p_00004,p_00004
p_00005,p_00005
p_00006,p_00006
p_00007,p_00007
p_00008,p_00008
p_00009,p_00009
p_00010,p_00010
p_00011,p_00011
p_00012,p_00012
p_00013,p_00013
p_00014,p_00014
p_00015,p_00015
p_00016,p_00016
p_00017,p_00017
p_00018,p_00018
p_00019,p_00019
p_00020,p_00020
p_00021,p_00021
p_00022,p_00022
p_00023,p_00023
p_00024,p_00024
p_00025,p_00025
p_00026,p_00026
p_00027,p_00027
p_00028,p_00028
p_00029,p_00029
p_00030,p_00030
p_00031,p_00031
p_00032,p_00032
p_00033,p_00033
p_00034,p_00034
p_00035,p_00035
p_00036,p_00036
p_00037,p_00037
p_00038,p_00038
p_00039,p_00039
p_00040,p_00040
p_00041,p_00041
p_00042,p_00042
p_00043,p_00043
p_00044,p_00044
p_00045,p_00045
p_00046,p_00046
p_00047,p_00047
p_00048,p_00048
p_00049,p_00049
p_00050,p_00050
p_00051,p_00051
p_00052,p_00052
p_00053,p_00053
p_00055,p_00055
p_00056,p_00056
p_00057,p_00057
p_00059,p_00059
p_00061,p_00061
p_00062,p_00062
p_00063,p_00063
p_00064,p_00064
p_00065,p_00065
p_00066,p_00066
p_00067,p_00067
p_00068,p_00068
p_00069,p_00069
p_00070,p_00070
p_00071,p_00071
p_00075,p_00075
p_00076,p_00076
p_00077,p_00077
p_00078,p_00078
p_00079,p_00079
p_00081,p_00081
p_00082,p_00082
p_00083,p_00083
p_00084,p_00084
p_00085,p_00085
p_00086,p_00086
p_00087,p_00087
p_00088,p_00088
p_00089,p_00089
p_00090,p_00090
p_00091,p_00091
p_00092,p_00092
p_00093,p_00093
p_00094,p_00094
p_00095,p_00095
p_00096,p_00096
p_00097,p_00097
p_00098,p_00098
p_00099,p_00099
p_00100,p_00100
p_00101,p_00101
p_00102,p_00102
p_00103,p_00103
p_00104,p_00104
p_00105,p_00105
p_00106,p_00106
p_00107,p_00107
p_00108,p_00108
p_00109,p_00109
p_00110,p_00110
p_00111,p_00111
p_00112,p_00112
p_00113,p_00113
p_00114,p_00114
p_00115,p_00115
p_00116,p_00116
p_00117,p_00117
p_00118,p_00118
p_00119,p_00119
p_00120,p_00120
p_00121,p_00121
p_00122,p_00122
p_00123,p_00123
p_00125,p_00125
p_00126,p_00126
p_00127,p_00127
p_00128,p_00128
p_00129,p_00129
p_00130,p_00130
p_00131,p_00131
p_00132,p_00132
p_00133,p_00133
p_00134,p_00134
p_00135,p_00135
p_00136,p_00136
p_00137,p_00137
p_00138,p_00138
p_00139,p_00139
p_00140,p_00140
p_00141,p_00141
p_00142,p_00142
p_00143,p_00143
p_00144,p_00144
p_00145,p_00145
p_00146,p_00146
p_00147,p_00147
p_00148,p_00148
p_00149,p_00149
p_00150,p_00150
p_00151,p_00151
p_00152,p_00152
p_00153,p_00153
p_00154,p_00154
p_00155,p_00155
p_00156,p_00156
p_00157,p_00157
p_00158,p_00158
p_00159,p_00159
p_00160,p_00160
p_00161,p_00161
p_00162,p_00162
p_00163,p_00163
p_00164,p_00164
p_00165,p_00165
p_00166,p_00166
p_00167,p_00167
p_00168,p_00168
p_00169,p_00169
p_00170,p_00170
p_00171,p_00171
p_00172,p_00172
p_00173,p_00173
p_00174,p_00174
p_00175,p_00175
p_00176,p_00176
p_00177,p_00177
p_00178,p_00178
p_00179,p_00179
p_00180,p_00180
p_00181,p_00181
p_00182,p_00182
p_00183,p_00183
p_00184,p_00184
p_00185,p_00185
p_00186,p_00186
p_00187,p_00187
p_00188,p_00188
p_00189,p_00189
p_00190,p_00190
p_00191,p_00191
p_00192,p_00192
p_00193,p_00193
p_00194,p_00194
p_00195,p_00195
p_00196,p_00196
p_00197,p_00197
p_00198,p_00198
p_00199,p_00199
p_00200,p_00200
p_00202,p_00202
p_00203,p_00203
p_00204,p_00204
p_00205,p_00205
p_00206,p_00206
p_00207,p_00207
p_00208,p_00208
p_00210,p_00210
p_00212,p_00212
p_00213,p_00213
p_00214,p_00214
p_00215,p_00215
p_00216,p_00216
p_00217,p_00217
p_00218,p_00218
p_00219,p_00219
p_00220,p_00220
p_00221,p_00221
p_00222,p_00222
p_00223,p_00223
p_00224,p_00224
p_00225,p_00225
p_00226,p_00226
p_00227,p_00227
p_00228,p_00228
p_00229,p_00229
p_00230,p_00230
p_00231,p_00231
p_00232,p_00232
p_00233,p_00233
p_00234,p_00234
p_00235,p_00235
p_00236,p_00236
p_00237,p_00237
p_00238,p_00238
p_00239,p_00239
p_00240,p_00240
p_00241,p_00241
p_00242,p_00242
p_00243,p_00243
p_00244,p_00244
p_00245,p_00245
p_00246,p_00246
p_00247,p_00247
p_00248,p_00248
p_00249,p_00249
p_00250,p_00250
p_00251,p_00251
p_00252,p_00252
p_00253,p_00253
p_00254,p_00254
p_00255,p_00255
p_00256,p_00256
p_00257,p_00257
p_00258,p_00258
p_00259,p_00259
p_00260,p_00260
p_00261,p_00261
p_00262,p_00262
p_00263,p_00263
p_00264,p_00264
p_00265,p_00265
p_00266,p_00266
p_00267,p_00267
p_00268,p_00268
p_00269,p_00269
p_00270,p_00270
p_00271,p_00271
p_00273,p_00273
p_00274,p_00274
p_00275,p_00275
p_00276,p_00276
p_00277,p_00277
p_00278,p_00278
p_00279,p_00279
p_00280,p_00280
p_00281,p_00281
p_00282,p_00282
p_00283,p_00283
p_00284,p_00284
p_00285,p_00285
p_00286,p_00286
p_00287,p_00287
p_00288,p_00288
p_00289,p_00289
p_00290,p_00290
p_00291,p_00291
p_00292,p_00292
p_00293,p_00293
p_00294,p_00294
p_00295,p_00295
p_00296,p_00296
p_00297,p_00297
p_00298,p_00298
p_00299,p_00299
p_00300,p_00300
p_00301,p_00301
p_00302,p_00302
p_00303,p_00303
p_00304,p_00304
p_00305,p_00305
p_00306,p_00306
p_00307,p_00307
p_00308,p_00308
p_00309,p_00309
p_00310,p_00310
p_00311,p_00311
p_00312,p_00312
p_00313,p_00313
p_00314,p_00314
p_00315,p_00315
p_00316,p_00316
p_00317,p_00317
p_00318,p_00318
p_00319,p_00319
p_00320,p_00320
p_00321,p_00321
p_00322,p_00322
p_00323,p_00323
p_00333,p_00333
p_00334,p_00334
p_00335,p_00335
p_00336,p_00336
p_00338,p_00338
p_00339,p_00339
p_00341,p_00341
p_00342,p_00342
p_00343,p_00343
p_00344,p_00344
p_00345,p_00345
p_00346,p_00346
p_00347,p_00347
p_00348,p_00348
p_00349,p_00349
p_00350,p_00350
