srg,cnf
m_00006,setScreen
m_00007,setGlError
m_00009,close
m_00011,lockMouse
m_00012,releaseMouse
m_00013,tick
m_00014,setCamera
m_00015,render
m_00016,renderFog
m_00017,getFogColorBuffer
m_00018,displayWorldStatus
m_00019,displayWorldSubStatus
m_00020,setWorldStatusProgress
m_00021,generateWorld
m_00022,loadWorld
m_00026,distanceToBlock
m_00028,resetPosition
m_00029,setHitbox
m_00030,setPosition
m_00031,onTick
m_00032,canMove
m_00033,offsetPosition
m_00034,inWater
m_00035,inLava
m_00036,addMotion
m_00037,isLit
m_00038,render
m_00044,stopThread
m_00046,saveWorld
m_00047,loadWorld
m_00048,readWorldData
m_00049,readLegacyWorldData
m_00050,writeWorldData
m_00055,render
m_00056,addLayer
m_00059,compare
m_00060,sortAndSetDirty
m_00061,sort
m_00066,sort
m_00067,render
m_00068,renderHitBlock
m_00069,renderHitBlockOutline
m_00070,setDirty
m_00072,set
m_00073,setLightDepths
m_00074,getBoxes
m_00075,setBlockAndUpdate
m_00076,setBlock
m_00077,updateNeighbor
m_00078,exposedToLight
m_00079,getBlock
m_00080,isLiquid
m_00082,getTexture
m_00084,draw
m_00085,resetBuffers
m_00086,reset
m_00087,setColor
m_00088,setColor
m_00089,setTexture
m_00090,setTexture
m_00091,setColor
m_00092,disableColor
m_00095,get
m_00096,normalizeSide
m_00097,isBoxInside
m_00103,render
m_00104,keyEvent
m_00105,buttonEvent
m_00106,set
m_00107,addElements
m_00108,renderElementColor
m_00109,renderElementGradient
m_00110,renderCenteredText
m_00111,renderText
m_00112,update
m_00113,updateCounter
m_00114,close
m_00117,setWorlds
m_00118,loadWorld
m_00121,render
m_00122,render
m_00123,getWidth
m_00125,render
m_00130,addPart
m_00131,setPosition
m_00132,render
m_00137,get
m_00142,expand
m_00143,intersects
m_00144,offset
m_00146,setTicking
m_00147,setBounds
m_00149,render
m_00150,isSideRendered
m_00151,getTexture
m_00152,renderSide
m_00153,renderBackSide
m_00154,renderTexturelessSide
m_00155,setBlockBox
m_00156,setBox
m_00157,isOpaque
m_00158,isSolid
m_00159,isTicking
m_00160,tick
m_00161,destroy
m_00162,getLiquidType
m_00163,onNeighborUpdate
m_00170,waterFlow
m_00173,generate
m_00174,setProgress
m_00175,generateLava
m_00176,generateLiquids
m_00180,get
m_00183,fade
m_00184,lerp
m_00185,grad
m_00186,isRunning
m_00187,onClick
m_00188,saveWorld
m_00189,setWorld
m_00191,remove
m_00192,rotate
m_00193,rotateWithInterpolation
m_00194,getBrightness
m_00195,setWorld
m_00196,startThread
m_00197,isBoxInside
m_00198,isVisible
m_00199,setWorld
m_00200,renderEntities
m_00201,renderClouds
m_00202,renderBlock
m_00205,setTransient
m_00206,setRandomSpawn
m_00207,addRenderer
m_00208,finalize
m_00209,removeRenderer
m_00210,isOpaque
m_00211,switchBlocks
m_00212,setBlockWithoutUpdating
m_00213,updateNeighbors
m_00214,isSolid
m_00215,tick
m_00216,insideWorld
m_00217,getGroundLevel
m_00218,getSeaLevel
m_00219,isLiquid
m_00220,addCoordinateForTicking
m_00221,entityOutsideBox
m_00222,isSolidWithOffset
m_00223,isSolid
m_00224,getHighestBlock
m_00225,setSpawn
m_00226,getBrightness
m_00227,getCaveness
m_00228,getCaveness
m_00229,render
m_00230,add
m_00231,getOffsetBox
m_00232,getOffsetX
m_00233,getOffsetY
m_00234,getOffsetZ
m_00236,updatePlayerMovements
m_00237,resetActiveInputs
m_00238,setInput
m_00240,resetActiveInputs
m_00241,setInput
m_00242,cullSide
m_00243,onPlacement
m_00246,fall
m_00248,generateSandBlobs
m_00249,generateTrees
m_00250,generateCaves
m_00252,disconnect
m_00253,readData
m_00254,writeData
m_00255,setServer
m_00256,multiplayer
m_00257,set
m_00259,render
m_00260,readWorldByteData
m_00261,entityTick
m_00267,setTickSpeed
m_00268,getBrightness
m_00269,getFluidType
m_00272,getDataType
m_00274,initializeGui
m_00275,renderGui
m_00276,addChatMessage
m_00277,setPosition
m_00278,setRotation
m_00281,renderShadowless
m_00282,getCopiedBlocks
m_00286,updateServerBlock
m_00287,update
m_00288,teleport
m_00289,updatePosition
m_00290,updateRotation
