srg,cnf
p_00001,x
p_00002,y
p_00003,z
p_00004,type
p_00005,side
p_00006,world
p_00007,minX
p_00008,minY
p_00009,minZ
p_00010,maxX
p_00011,maxY
p_00012,maxZ
p_00013,layer
p_00014,layer
p_00015,frustumMatrix
p_00016,side
p_00017,x
p_00018,y
p_00019,z
p_00020,x
p_00021,y
p_00022,z
p_00023,radius
p_00024,minX
p_00025,minY
p_00026,minZ
p_00027,maxX
p_00028,maxY
p_00029,maxZ
p_00030,minX
p_00031,minY
p_00032,minZ
p_00033,maxX
p_00034,maxY
p_00035,maxZ
p_00036,box
p_00037,xSize
p_00038,zSize
p_00039,ySize
p_00040,minX
p_00041,minZ
p_00042,maxX
p_00043,maxZ
p_00044,listener
p_00045,listener
p_00046,x
p_00047,y
p_00048,z
p_00049,x
p_00050,y
p_00051,z
p_00052,x
p_00053,y
p_00054,z
p_00055,box
p_00056,x
p_00057,y
p_00058,z
p_00059,x
p_00060,y
p_00061,z
p_00062,type
p_00063,x
p_00064,y
p_00065,z
p_00066,x
p_00067,z
p_00068,minY
p_00069,maxY
p_00070,world
p_00071,player
p_00072,layer
p_00073,player
p_00074,hitResult
p_00075,minX
p_00076,minY
p_00077,minZ
p_00078,maxX
p_00079,maxY
p_00080,maxZ
p_00081,u
p_00082,v
p_00083,red
p_00084,green
p_00085,blue
p_00086,x
p_00087,y
p_00088,z
p_00089,texture
p_00090,tessellator
p_00091,world
p_00092,layer
p_00093,x
p_00094,y
p_00095,z
p_00096,tessellator
p_00097,x
p_00098,y
p_00099,z
p_00100,side
p_00101,minX
p_00102,minY
p_00103,minZ
p_00104,maxX
p_00105,maxY
p_00106,maxZ
p_00107,xChange
p_00108,yChange
p_00109,zChange
p_00110,xChange
p_00111,yChange
p_00112,zChange
p_00113,other
p_00114,x
p_00115,other
p_00116,y
p_00117,other
p_00118,z
p_00119,other
p_00120,xChange
p_00121,yChange
p_00122,zChange
p_00123,world
p_00124,x
p_00125,y
p_00126,z
p_00127,xChange
p_00128,yChange
p_00129,xChange
p_00130,yChange
p_00131,zChange
p_00132,xChange
p_00133,zChange
p_00134,speed
p_00135,partialTicks
p_00136,partialTicks
p_00137,partialTicks
p_00138,x
p_00139,y
p_00140,partialTicks
p_00141,partialTicks
p_00142,args
p_00143,resource
p_00144,mode
p_00145,id
p_00146,tps
