srg,cnf
m_00004,rebuild
m_00005,render
m_00006,setDirty
m_00009,getFrustum
m_00010,normalizePlane
m_00011,calculateFrustum
m_00012,pointInFrustum
m_00013,sphereInFrustum
m_00014,cubeFullyInFrustum
m_00015,cubeInFrustum
m_00016,cubeInFrustum
m_00018,load
m_00019,save
m_00020,calcLightDepths
m_00021,addListener
m_00022,removeListener
m_00023,isTile
m_00024,isSolidTile
m_00025,isLightBlocker
m_00026,getCubes
m_00027,getBrightness
m_00028,setTile
m_00029,tileChanged
m_00030,lightColumnChanged
m_00031,allChanged
m_00033,render
m_00034,pick
m_00035,renderHit
m_00036,setDirty
m_00038,flush
m_00039,clear
m_00040,init
m_00041,tex
m_00042,color
m_00043,vertex
m_00046,render
m_00047,renderFace
m_00049,expand
m_00050,grow
m_00051,clipXCollide
m_00052,clipYCollide
m_00053,clipZCollide
m_00054,intersects
m_00055,move
m_00064,init
m_00065,destroy
m_00067,tick
m_00068,moveCameraToPlayer
m_00069,setupCamera
m_00070,setupPickCamera
m_00071,pick
m_00072,render
m_00073,checkError
m_00077,loadTexture
m_00080,advanceTime
m_00082,setTexOffs
m_00083,addBox
m_00084,setPos
m_00085,render
m_00088,render
m_00090,interpolateTo
m_00091,set
m_00093,remap
m_00097,render
m_00099,resetPos
m_00100,setPos
m_00101,turn
m_00102,tick
m_00103,move
m_00104,moveRelative
