srg,cnf
com/mojang/minecraft/src/c_00001,com/mojang/minecraft/HitResult
com/mojang/minecraft/src/c_00002,com/mojang/minecraft/level/Chunk
com/mojang/minecraft/src/c_00003,com/mojang/minecraft/level/Frustum
com/mojang/minecraft/src/c_00004,com/mojang/minecraft/level/Level
com/mojang/minecraft/src/c_00005,com/mojang/minecraft/level/LevelListener
com/mojang/minecraft/src/c_00006,com/mojang/minecraft/level/LevelRenderer
com/mojang/minecraft/src/c_00007,com/mojang/minecraft/level/Tesselator
com/mojang/minecraft/src/c_00008,com/mojang/minecraft/level/tile/Tile
com/mojang/minecraft/src/c_00009,com/mojang/minecraft/phys/AABB
com/mojang/minecraft/src/c_00010,com/mojang/minecraft/Player
com/mojang/minecraft/src/c_00011,com/mojang/minecraft/RubyDung
com/mojang/minecraft/src/c_00012,com/mojang/minecraft/Textures
com/mojang/minecraft/src/c_00013,com/mojang/minecraft/Timer
com/mojang/minecraft/src/c_00014,com/mojang/minecraft/character/Cube
com/mojang/minecraft/src/c_00015,com/mojang/minecraft/character/Polygon
com/mojang/minecraft/src/c_00016,com/mojang/minecraft/character/Vec3
com/mojang/minecraft/src/c_00017,com/mojang/minecraft/character/Vertex
com/mojang/minecraft/src/c_00018,com/mojang/minecraft/character/Zombie
com/mojang/minecraft/src/c_00019,com/mojang/minecraft/Entity
com/mojang/minecraft/src/c_00020,com/mojang/minecraft/character/ZombieModel
com/mojang/minecraft/src/c_00021,com/mojang/minecraft/level/DirtyChunkSorter
com/mojang/minecraft/src/c_00022,com/mojang/minecraft/level/PerlinNoiseFilter
com/mojang/minecraft/src/c_00023,com/mojang/minecraft/level/tile/DirtTile
com/mojang/minecraft/src/c_00024,com/mojang/minecraft/level/tile/GrassTile
com/mojang/minecraft/src/c_00025,com/mojang/minecraft/particle/Particle
com/mojang/minecraft/src/c_00026,com/mojang/minecraft/particle/ParticleEngine
com/mojang/minecraft/src/c_00027,com/mojang/minecraft/level/tile/Bush
com/mojang/minecraft/src/c_00028,com/mojang/minecraft/MinecraftApplet
